n,Frecuencia [Hz],Frecuencia adim,Ganancia [adim] ,Fase [rad]
0,50.0,12.653930208605166,1.2640946717458859,-1.6234298406722014
1,5.6,1.4172401833637787,1.160883313459837,-0.1920405392106305
2,5.8,1.4678559041981993,1.127287322186843,-0.20151536448855936
3,1.0,0.2530786041721033,0.17461704219988602,-0.6996625656334555
4,1.0,0.2530786041721033,0.22636517688304625,-2.8474851193160164
5,0.1,0.025307860417210334,0.3252265793271839,1.3649392676304475
6,2.0,0.5061572083442066,0.3370950146007107,2.400879988121111
7,3.0,0.75923581251631,2.9041038115671567,2.0460742700192776
8,4.0,1.0123144166884133,2.4308166948892747,-0.10646441167468663
9,6.0,1.51847162503262,1.0555693324631696,-0.17785113517401382
10,7.0,1.7715502292047232,1.0259077112817807,-0.26167335324409025
11,8.0,2.0246288333768265,0.9414227476775605,-0.2929986672221432
12,100.0,25.307860417210332,0.35955126107745444,2.0011881833137433
13,9.0,2.27770743754893,0.9058983939053076,-0.19426823349627967
14,11.0,2.783864645893136,0.8794293747941131,-0.2690002819931168
15,12.0,3.03694325006524,0.8506985270958431,-0.23582400724290015
16,13.0,3.2900218542373434,0.8599411976363942,-0.2854969052128384
17,14.0,3.5431004584094463,0.8418637178555406,-0.26629102357817186
18,15.0,3.7961790625815497,0.8452041675415407,-0.2523365081166848
19,16.0,4.049257666753653,0.8441657976099728,0.2663167573472603
20,17.0,4.302336270925757,0.8462458423128242,-0.22923179742317693
21,18.0,4.55541487509786,0.8519377215071366,0.20241546685101897
22,19.0,4.808493479269963,0.848455795158978,-0.22018827443287284
23,500.0,126.53930208605165,0.03056991307322152,-1.7177297916914953
24,20.0,5.0615720834420665,0.8515921252641527,0.21409350010673164
25,21.0,5.31465068761417,0.8588134476434539,-0.2671172098799291
26,22.0,5.567729291786272,0.8634042687384622,-0.2633864412795386
27,23.0,5.820807895958376,0.8699788186952315,-0.2291448732041219
28,24.0,6.07388650013048,0.8720115434501239,-0.21992584813291788
29,26.0,6.580043708474687,0.8789684125681154,-0.28810307152733816
30,27.0,6.83312231264679,0.881335265590252,-0.2863551939206915
31,28.0,7.086200916818893,0.8884396146621196,-0.28859780951084174
32,29.0,7.3392795209909965,0.8951095521054596,-0.2440431748521697
33,30.0,7.592358125163099,0.900287117531571,-0.2887655808586574
34,1000.0,253.0786041721033,0.0437776904494746,-2.226659674941234
35,31.0,7.845436729335202,0.9198797937987933,-0.2691152179827426
36,32.0,8.098515333507306,0.9333647406398644,-0.3430205700608023
37,33.0,8.35159393767941,0.9393041495284413,-0.37174714624891936
38,34.0,8.604672541851514,0.9441806970758102,-0.3686773896425696
39,35.0,8.857751146023617,0.9499716449004112,-0.4229584185855079
40,36.0,9.11082975019572,0.9485521767861811,-0.6104387640013259
41,37.0,9.363908354367823,0.8619567787452158,0.9395651362717573
42,38.0,9.616986958539925,0.7195594413326039,-1.119194028797421
43,39.0,9.87006556271203,0.8019151310200856,-0.9433829915785347
44,40.0,10.123144166884133,0.8238265141598795,-0.9743789820782952
45,5.0,1.2653930208605166,1.4163362110590376,-0.09237926079337333
46,41.0,10.376222771056236,0.8064271512131997,-1.0378217582294997
47,42.0,10.62930137522834,0.6902612476320463,-1.4468227257526967
48,43.0,10.882379979400442,0.7355003719733681,-1.2791931297067605
49,44.0,11.135458583572545,0.7021393515391016,-1.3642290505761507
50,45.0,11.38853718774465,0.6588144051674731,1.3158280844584966
51,46.0,11.641615791916752,0.5848314041126315,1.6302651583142889
52,47.0,11.894694396088857,0.6508144212718898,-1.5646061382165322
53,48.0,12.14777300026096,0.5588872264828496,-1.3377053712390121
54,49.0,12.400851604433061,0.5357640732923046,-1.5759738390231992
55,0.2,0.05061572083442067,0.1755707433941055,-1.9254665795585946
56,10.0,2.5307860417210333,0.8825861475031842,-0.20103141978652297
57,0.3,0.075923581251631,0.10353564490700493,-2.775213614894878
58,0.4,0.10123144166884133,0.08845072160166303,-1.4286473267781188
59,0.5,0.12653930208605166,0.12001065331627828,1.95504548769056
60,0.6,0.151847162503262,0.11334006867661396,0.4359008521106236
61,0.7,0.17715502292047233,0.17815166102756483,-1.933012099525943
62,0.8,0.20246288333768267,0.16343915124704644,-3.0033281442708235
63,0.9,0.22777074375489298,0.20689260365139972,2.6965912594484003
64,1.1,0.2783864645893137,0.22071958572596165,2.656043513945925
65,1.2,0.303694325006524,0.21784675810973003,2.5180353750472935
66,1.3,0.32900218542373433,0.2822186798281271,2.6337634359060007
67,25.0,6.326965104302583,0.876055157721169,-0.288850515204254
68,1.4,0.35431004584094467,0.28414983744467875,2.497103706827828
69,1.5,0.379617906258155,0.3433824080608889,2.3157123114742344
70,1.6,0.40492576667536534,0.4148042556547311,2.3703499492334736
71,1.7,0.4302336270925757,0.46793059986490937,-2.2730161499441777
72,1.8,0.45554148750978596,0.5193802595598573,-2.261852165833708
73,1.9,0.4808493479269963,0.6056822756215114,-2.2707596946401924
74,2.1,0.531465068761417,0.7252555670797232,2.0827291171722058
75,2.2,0.5567729291786274,0.8718147007613655,2.059941109144576
76,2.3,0.5820807895958375,1.0607169207560756,2.026716058414265
77,2.4,0.607388650013048,1.3027873128248808,2.0007527439147172
78,50.0,12.653930208605166,0.5710776302301587,-1.4731132864208951
79,2.5,0.6326965104302583,1.573942548026868,1.9865395688492815
80,2.6,0.6580043708474687,1.810528904678574,1.9228063793579901
81,2.7,0.683312231264679,2.1245563498290814,1.8120766602593361
82,2.8,0.7086200916818893,2.4554721093322947,1.671289674901887
83,2.9,0.7339279520990997,2.7277357222829544,1.495830063095924
84,3.1,0.7845436729335203,3.0733392055931166,-1.1247346205268676
85,3.2,0.8098515333507307,3.114252550607496,0.9429028236248045
86,3.3,0.835159393767941,3.071817987901912,0.7697068332116015
87,3.4,0.8604672541851514,2.977512690384693,0.6046960779718059
88,3.5,0.8857751146023616,2.8340609238485888,0.4600745685311796
89,60.0,15.184716250326199,0.6310960825744012,1.9707932990442503
90,3.6,0.9110829750195719,2.666318404834993,0.3305568458403076
91,3.7,0.9363908354367823,2.4695312310639195,0.21720926713892227
92,3.8,0.9616986958539926,2.3338287540351788,0.14989525640938445
93,3.9,0.9870065562712029,2.1947830686265046,0.08780481326990823
94,4.2,1.062930137522834,1.8406391786198462,0.0601047108167215
95,4.4,1.1135458583572548,1.626516060097811,-0.12030327030431479
96,4.6,1.164161579191675,1.4711441300825991,-0.16852656032092364
97,4.8,1.214777300026096,1.3670805438773268,-0.1731862044711791
98,5.2,1.3160087416949373,1.2421706479377685,0.17412708136857172
99,5.4,1.366624462529358,1.1957917477024678,-0.17955255388726638
100,75.0,18.980895312907748,0.776817991814744,-0.21087131006562773
